AK044036,ENSMUSG00000087143
Acot1,ENSMUSG00000072949
Adamdec1,ENSMUSG00000022057
Adh6-ps1,ENSMUSG00000090306
Agxt2l1,ENSMUSG00000019232
Akr1c6,ENSMUSG00000021210
Alb,ENSMUSG00000029368
Aldh1b1,ENSMUSG00000035561
Aldh2,ENSMUSG00000029455
Aldh3a2,ENSMUSG00000010025
Aldob,ENSMUSG00000028307
Ambp,ENSMUSG00000028356
Amdhd1,ENSMUSG00000015890
Ang;Rnase4;2010317E24Rik,ENSMUSG00000026955
Apoa1,ENSMUSG00000032083
Apoc3,ENSMUSG00000032081
Apoe,ENSMUSG00000002985
Arg1,ENSMUSG00000019987
Asl,ENSMUSG00000025533
Ass1,ENSMUSG00000076441
Avpr1a,ENSMUSG00000020123
Blvrb,ENSMUSG00000040466
C3,ENSMUSG00000024164
Car3,ENSMUSG00000027559
Ccl24,ENSMUSG00000004814
Cd300e,ENSMUSG00000048498
Cdh1;AK041755,ENSMUSG00000000303
Cenpo,ENSMUSG00000020652
Ces1c,ENSMUSG00000057400
Ces1d,ENSMUSG00000056973
Ces3a,ENSMUSG00000069922
Cib3,ENSMUSG00000074240
Csad,ENSMUSG00000023044
Cyp1a2,ENSMUSG00000032310
Cyp27a1,ENSMUSG00000026170
Cyp2a12,ENSMUSG00000060407
Cyp2a5,ENSMUSG00000005547
Cyp2c29;Cyp2c53-ps,ENSMUSG00000003053
Cyp2c37,ENSMUSG00000042248
Cyp2c40,ENSMUSG00000025004
Cyp2c50,ENSMUSG00000054827
Cyp2c54,ENSMUSG00000067225
Cyp2d9,ENSMUSG00000068086
Cyp2e1,ENSMUSG00000025479
Cyp2f2,ENSMUSG00000052974
Fbp1,ENSMUSG00000069805
Fitm1,ENSMUSG00000022215
Ftcd,ENSMUSG00000001155
Glul,ENSMUSG00000026473
Gsta3,ENSMUSG00000025934
Gstm1,ENSMUSG00000058135
Gstm2,ENSMUSG00000040562
Gstm6,ENSMUSG00000068762
Gulo,ENSMUSG00000034450
Hal,ENSMUSG00000020017
Hdmcp;Slc25a47,ENSMUSG00000048856
Hist1h2bj,ENSMUSG00000069300
Hoxb2,ENSMUSG00000075588
Hpd,ENSMUSG00000029445
Hpx,ENSMUSG00000030895
Hrsp12,ENSMUSG00000022323
Hsd11b1,ENSMUSG00000016194
Hsd17b10,ENSMUSG00000025260
Hsd17b13,ENSMUSG00000034528
Hsd17b6,ENSMUSG00000025396
Igf1,ENSMUSG00000020053
Inmt,ENSMUSG00000003477
Itih3,ENSMUSG00000006522
Lect2,ENSMUSG00000021539
Lhpp,ENSMUSG00000030946
Ly6e,ENSMUSG00000022587
Mfsd2a,ENSMUSG00000028655
Mgst1,ENSMUSG00000008540
Mt1,ENSMUSG00000031765
Mup6,ENSMUSG00000078689
Npr2,ENSMUSG00000028469
Oat,ENSMUSG00000030934
Ovgp1,ENSMUSG00000074340
Pck1,ENSMUSG00000027513
Pcp4l1,ENSMUSG00000038370
Pigr,ENSMUSG00000026417
Plbd1,ENSMUSG00000030214
Por,ENSMUSG00000005514
Pparg,ENSMUSG00000000440
Ppfia4;mKIAA0897,ENSMUSG00000026458
Rarres1,ENSMUSG00000049404
Rgn,ENSMUSG00000023070
Sds,ENSMUSG00000029597
Sdsl,ENSMUSG00000029596
Sepp1,ENSMUSG00000064373
Serpina12,ENSMUSG00000041567
Serpina1b,ENSMUSG00000071178
Serpina1c,ENSMUSG00000079015
Serpina1e,ENSMUSG00000072849
Sfxn1,ENSMUSG00000021474
Slc12a5,ENSMUSG00000017740
Slc13a3,ENSMUSG00000018459
Slc16a10,ENSMUSG00000019838
Slc1a2,ENSMUSG00000005089
Slc22a1,ENSMUSG00000023829
Slc22a3,ENSMUSG00000023828
Tbx3,ENSMUSG00000018604
Tox2,ENSMUSG00000074607
Trf,ENSMUSG00000032554
Tstd1,ENSMUSG00000103711
Uroc1,ENSMUSG00000034456
Vtn,ENSMUSG00000017344
