Gene stable ID	Gene stable ID version	Human gene name	Human gene stable ID
ENSMUSG00000064370	ENSMUSG00000064370.1	MT-CYB	ENSG00000198727
ENSMUSG00000064368	ENSMUSG00000064368.1	MT-ND6	ENSG00000198695
ENSMUSG00000064367	ENSMUSG00000064367.1	MT-ND5	ENSG00000198786
ENSMUSG00000064363	ENSMUSG00000064363.1	MT-ND4	ENSG00000198886
ENSMUSG00000065947	ENSMUSG00000065947.3	MT-ND4L	ENSG00000212907
ENSMUSG00000064360	ENSMUSG00000064360.1	MT-ND3	ENSG00000198840
ENSMUSG00000064358	ENSMUSG00000064358.1	MT-CO3	ENSG00000198938
ENSMUSG00000064357	ENSMUSG00000064357.1	MT-ATP6	ENSG00000198899
ENSMUSG00000064356	ENSMUSG00000064356.3	MT-ATP8	ENSG00000228253
ENSMUSG00000064354	ENSMUSG00000064354.1	MT-CO2	ENSG00000198712
ENSMUSG00000064351	ENSMUSG00000064351.1	MT-CO1	ENSG00000198804
ENSMUSG00000064345	ENSMUSG00000064345.1	MT-ND2	ENSG00000198763
ENSMUSG00000064341	ENSMUSG00000064341.1	MT-ND1	ENSG00000198888
ENSMUSG00000076855	ENSMUSG00000076855.5	TRAV19	ENSG00000211799
ENSMUSG00000028101	ENSMUSG00000028101.18	PIAS3	ENSG00000131788
ENSMUSG00000094562	ENSMUSG00000094562.5	TRAV22	ENSG00000211802
ENSMUSG00000042354	ENSMUSG00000042354.7	GNL3	ENSG00000163938
ENSMUSG00000004446	ENSMUSG00000004446.12	BID	ENSG00000015475
ENSMUSG00000094212	ENSMUSG00000094212.3	TRAV23DV6	ENSG00000211803
ENSMUSG00000076858	ENSMUSG00000076858.3	TRAV5	ENSG00000211779
ENSMUSG00000027379	ENSMUSG00000027379.13	BUB1	ENSG00000169679
ENSMUSG00000087666	ENSMUSG00000087666.3	TRAV22	ENSG00000211802
ENSMUSG00000035683	ENSMUSG00000035683.13	MELK	ENSG00000165304
ENSMUSG00000076861	ENSMUSG00000076861.10	TRAV27	ENSG00000211809
ENSMUSG00000024346	ENSMUSG00000024346.6	PFDN1	ENSG00000113068
ENSMUSG00000025364	ENSMUSG00000025364.13	AC034102.2	ENSG00000257411
ENSMUSG00000025364	ENSMUSG00000025364.13	PA2G4	ENSG00000170515
ENSMUSG00000015437	ENSMUSG00000015437.5	GZMB	ENSG00000100453
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF727	ENSG00000214652
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF678	ENSG00000181450
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF85	ENSG00000105750
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF681	ENSG00000196172
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF736	ENSG00000234444
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF724	ENSG00000196081
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF695	ENSG00000197472
ENSMUSG00000098905	ENSMUSG00000098905.2	ZNF682	ENSG00000197124
ENSMUSG00000009112	ENSMUSG00000009112.4	BCL2L13	ENSG00000099968
ENSMUSG00000038331	ENSMUSG00000038331.15	SATB2	ENSG00000119042
ENSMUSG00000028460	ENSMUSG00000028460.6	SIT1	ENSG00000137078
ENSMUSG00000019139	ENSMUSG00000019139.10	ISYNA1	ENSG00000105655
ENSMUSG00000041445	ENSMUSG00000041445.9	MMRN2	ENSG00000173269
ENSMUSG00000026614	ENSMUSG00000026614.7	SLC30A10	ENSG00000196660
ENSMUSG00000024897	ENSMUSG00000024897.9	APBA1	ENSG00000107282
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF727	ENSG00000214652
ENSMUSG00000048280	ENSMUSG00000048280.18	ZNF678	ENSG00000181450
